period,rankingType,rank,merchantId,merchantName,totalConsumption,yearAgoConsumption,diff
2026.7,consumption,1,500339,山东鼎鑫书业有限公司,18906.28,19266.06,-359.78
2026.7,consumption,2,500261,山东正禾大教育科技有限公司,15889.26,18547.53,-2658.27
2026.7,consumption,3,500162,郑州荣恒图书发行有限公司,15550.98,4749.74,10801.24
2026.7,consumption,4,905437,高智传媒科技中心,14793.38,5510.00,9283.38
2026.7,consumption,5,500566,山东金榜苑文化传媒有限责任公司,14270.81,22971.83,-8701.02
2026.7,consumption,6,503992,长歌文化,11619.53,22714.80,-11095.27
2026.7,consumption,7,500507,山东育博苑文化传媒有限公司,11399.18,16028.46,-4629.28
2026.7,consumption,8,518061,梁山金大文化传媒有限公司,11090.54,0.00,11090.54
2026.7,consumption,9,500179,洛阳朝霞文化股份有限公司,10232.32,13195.47,-2963.15
2026.7,consumption,10,500285,山东一帆融媒教育科技有限公司,9895.98,12740.40,-2844.42
2026.7,consumption,11,514867,拾光树文化,9873.22,0.00,9873.22
2026.7,consumption,12,500173,河北金卷教育科技有限公司,9075.10,7897.60,1177.50
2026.7,consumption,13,500410,湖北时代卓锦文化传媒有限公司,8476.06,3401.20,5074.86
2026.7,consumption,14,500318,湖北盈未来教育科技有限公司,8239.00,7950.47,288.53
2026.7,consumption,15,500283,哈尔滨勤为径图书经销有限公司,8113.35,23279.54,-15166.19
2026.7,consumption,16,500661,江苏壹学知道文化传媒有限公司,7482.42,8188.62,-706.20
2026.7,consumption,17,500172,陕西灰犀牛图书策划有限公司,7446.40,9239.96,-1793.56
2026.7,consumption,18,500538,安徽木牍教育图书有限公司,7011.68,10138.60,-3126.92
2026.7,consumption,19,500745,深圳天骄文化传播有限公司,6444.28,11347.36,-4903.08
2026.7,consumption,20,500312,江苏通典文化传媒集团有限公司,5924.48,19893.88,-13969.40
2026.7,growth,1,518061,梁山金大文化传媒有限公司,11090.54,0.00,11090.54
2026.7,growth,2,500162,郑州荣恒图书发行有限公司,15550.98,4749.74,10801.24
2026.7,growth,3,514867,拾光树文化,9873.22,0.00,9873.22
2026.7,growth,4,905437,高智传媒科技中心,14793.38,5510.00,9283.38
2026.7,growth,5,520221,见山文化,5502.20,0.00,5502.20
2026.7,growth,6,500410,湖北时代卓锦文化传媒有限公司,8476.06,3401.20,5074.86
2026.7,growth,7,511775,陕西文韬文化传媒有限公司,3552.80,0.00,3552.80
2026.7,growth,8,500500,山东正大图书有限公司,4213.26,751.60,3461.66
2026.7,growth,9,511590,衡水天枢教育发展有限公司,3046.40,0.00,3046.40
2026.7,growth,10,500608,河南欢颜文化传媒有限公司,2845.80,0.00,2845.80
2026.7,growth,11,500546,众望益飞教育科技（北京）有限公司,4196.81,1689.08,2507.73
2026.7,growth,12,520676,广州市昭阳博悦文化传播有限公司,1943.10,0.00,1943.10
2026.7,growth,13,518382,东北书局,1941.00,0.00,1941.00
2026.7,growth,14,500534,崇文阁·中考提分知识库,1880.50,28.40,1852.10
2026.7,growth,15,507430,广州习阅文化传媒有限公司,1622.48,100.00,1522.48
2026.7,growth,16,500121,浙江金睿文化传媒有限公司,2464.60,959.92,1504.68
2026.7,growth,17,520481,武汉鑫南泓文化传媒有限公司,1339.04,0.00,1339.04
2026.7,growth,18,500271,河北红对勾文化传播有限公司,3039.80,1750.00,1289.80
2026.7,growth,19,500269,梁山辉煌图书有限公司,1774.10,486.07,1288.03
2026.7,growth,20,500173,河北金卷教育科技有限公司,9075.10,7897.60,1177.50
2026.7,decline,1,500283,哈尔滨勤为径图书经销有限公司,8113.35,23279.54,-15166.19
2026.7,decline,2,500573,山东接力教育集团有限公司,5063.28,19781.88,-14718.60
2026.7,decline,3,500312,江苏通典文化传媒集团有限公司,5924.48,19893.88,-13969.40
2026.7,decline,4,503992,长歌文化,11619.53,22714.80,-11095.27
2026.7,decline,5,500408,河北华冠图书有限公司,5812.22,16793.15,-10980.93
2026.7,decline,6,500566,山东金榜苑文化传媒有限责任公司,14270.81,22971.83,-8701.02
2026.7,decline,7,500309,武汉睿芯教育科技有限公司,1911.40,10461.25,-8549.85
2026.7,decline,8,500505,湖北千里万卷教育科技有限责任公司,1498.10,8439.52,-6941.42
2026.7,decline,9,500377,山东泰斗文化传播有限公司,3531.50,10016.82,-6485.32
2026.7,decline,10,505620,湖南书虫教育科技有限公司,1836.06,8004.20,-6168.14
2026.7,decline,11,500745,深圳天骄文化传播有限公司,6444.28,11347.36,-4903.08
2026.7,decline,12,500507,山东育博苑文化传媒有限公司,11399.18,16028.46,-4629.28
2026.7,decline,13,500299,山东众旺汇金教育科技有限公司,3762.54,8377.22,-4614.68
2026.7,decline,14,500376,江西宇恒文化发展有限公司,5848.27,10250.98,-4402.71
2026.7,decline,15,500297,河南文轩文化传播有限公司,294.40,4655.90,-4361.50
2026.7,decline,16,500572,山东金太阳教育集团有限公司,1893.60,6169.98,-4276.38
2026.7,decline,17,500284,北京今晚时间传媒科技有限公司,450.20,3998.30,-3548.10
2026.7,decline,18,504623,开心教辅图书,893.20,4247.65,-3354.45
2026.7,decline,19,800020,武汉华大鸿图文化发展有限责任公司,1631.00,4910.30,-3279.30
2026.7,decline,20,500696,山东面向未来图书销售有限公司,2749.87,5982.11,-3232.24
