period,rankingType,rank,merchantId,merchantName,totalConsumption,yearAgoConsumption,diff
2026.8.7-2026.8.13,consumption,1,500566,山东金榜苑文化传媒有限责任公司,7723.10,4202.61,3520.49
2026.8.7-2026.8.13,consumption,2,500339,山东鼎鑫书业有限公司,3136.90,2433.40,703.50
2026.8.7-2026.8.13,consumption,3,500162,郑州荣恒图书发行有限公司,2687.20,1156.80,1530.40
2026.8.7-2026.8.13,consumption,4,500261,山东正禾大教育科技有限公司,2565.10,3059.56,-494.46
2026.8.7-2026.8.13,consumption,5,500318,湖北盈未来教育科技有限公司,2500.10,750.92,1749.18
2026.8.7-2026.8.13,consumption,6,503992,长歌文化,2444.50,4109.32,-1664.82
2026.8.7-2026.8.13,consumption,7,905437,高智传媒科技中心,2148.70,1982.80,165.90
2026.8.7-2026.8.13,consumption,8,500507,山东育博苑文化传媒有限公司,1797.50,2376.52,-579.02
2026.8.7-2026.8.13,consumption,9,520221,见山文化,1759.20,0.00,1759.20
2026.8.7-2026.8.13,consumption,10,500312,江苏通典文化传媒集团有限公司,1634.10,2391.70,-757.60
2026.8.7-2026.8.13,consumption,11,514867,拾光树文化,1620.20,0.00,1620.20
2026.8.7-2026.8.13,consumption,12,518061,梁山金大文化传媒有限公司,1500.80,0.00,1500.80
2026.8.7-2026.8.13,consumption,13,500410,湖北时代卓锦文化传媒有限公司,1497.90,399.80,1098.10
2026.8.7-2026.8.13,consumption,14,500285,山东一帆融媒教育科技有限公司,1451.30,2929.37,-1478.07
2026.8.7-2026.8.13,consumption,15,500538,安徽木牍教育图书有限公司,1408.90,3158.30,-1749.40
2026.8.7-2026.8.13,consumption,16,500173,河北金卷教育科技有限公司,1323.20,1275.90,47.30
2026.8.7-2026.8.13,consumption,17,500179,洛阳朝霞文化股份有限公司,1272.80,1630.88,-358.08
2026.8.7-2026.8.13,consumption,18,500415,山东一本图书文化有限公司,1236.60,851.60,385.00
2026.8.7-2026.8.13,consumption,19,500172,陕西灰犀牛图书策划有限公司,1232.10,1207.92,24.18
2026.8.7-2026.8.13,consumption,20,500188,山东绿卡教育科技有限公司,1216.90,363.70,853.20
2026.8.7-2026.8.13,growth,1,500566,山东金榜苑文化传媒有限责任公司,7723.10,4202.61,3520.49
2026.8.7-2026.8.13,growth,2,520221,见山文化,1759.20,0.00,1759.20
2026.8.7-2026.8.13,growth,3,500318,湖北盈未来教育科技有限公司,2500.10,750.92,1749.18
2026.8.7-2026.8.13,growth,4,514867,拾光树文化,1620.20,0.00,1620.20
2026.8.7-2026.8.13,growth,5,500162,郑州荣恒图书发行有限公司,2687.20,1156.80,1530.40
2026.8.7-2026.8.13,growth,6,518061,梁山金大文化传媒有限公司,1500.80,0.00,1500.80
2026.8.7-2026.8.13,growth,7,500410,湖北时代卓锦文化传媒有限公司,1497.90,399.80,1098.10
2026.8.7-2026.8.13,growth,8,500188,山东绿卡教育科技有限公司,1216.90,363.70,853.20
2026.8.7-2026.8.13,growth,9,500644,广东文晖文化传播有限公司,859.20,20.00,839.20
2026.8.7-2026.8.13,growth,10,500339,山东鼎鑫书业有限公司,3136.90,2433.40,703.50
2026.8.7-2026.8.13,growth,11,511590,衡水天枢教育发展有限公司,667.40,0.00,667.40
2026.8.7-2026.8.13,growth,12,523621,江苏春雨教育集团有限公司,627.20,0.00,627.20
2026.8.7-2026.8.13,growth,13,500415,山东一本图书文化有限公司,1236.60,851.60,385.00
2026.8.7-2026.8.13,growth,14,500500,山东正大图书有限公司,572.40,207.40,365.00
2026.8.7-2026.8.13,growth,15,520481,武汉鑫南泓文化传媒有限公司,347.20,0.00,347.20
2026.8.7-2026.8.13,growth,16,500608,河南欢颜文化传媒有限公司,346.20,0.00,346.20
2026.8.7-2026.8.13,growth,17,511775,陕西文韬文化传媒有限公司,332.00,0.00,332.00
2026.8.7-2026.8.13,growth,18,520676,广州市昭阳博悦文化传播有限公司,316.60,0.00,316.60
2026.8.7-2026.8.13,growth,19,500579,潍坊神龙教育科技有限公司,225.60,0.00,225.60
2026.8.7-2026.8.13,growth,20,500661,江苏壹学知道文化传媒有限公司,801.70,590.86,210.84
2026.8.7-2026.8.13,decline,1,500573,山东接力教育集团有限公司,655.90,4033.90,-3378.00
2026.8.7-2026.8.13,decline,2,500283,哈尔滨勤为径图书经销有限公司,1167.00,3820.78,-2653.78
2026.8.7-2026.8.13,decline,3,500408,河北华冠图书有限公司,718.70,2919.90,-2201.20
2026.8.7-2026.8.13,decline,4,500377,山东泰斗文化传播有限公司,287.40,2051.90,-1764.50
2026.8.7-2026.8.13,decline,5,500538,安徽木牍教育图书有限公司,1408.90,3158.30,-1749.40
2026.8.7-2026.8.13,decline,6,503992,长歌文化,2444.50,4109.32,-1664.82
2026.8.7-2026.8.13,decline,7,500309,武汉睿芯教育科技有限公司,199.52,1694.50,-1494.98
2026.8.7-2026.8.13,decline,8,504623,开心教辅图书,159.10,1645.32,-1486.22
2026.8.7-2026.8.13,decline,9,500285,山东一帆融媒教育科技有限公司,1451.30,2929.37,-1478.07
2026.8.7-2026.8.13,decline,10,500572,山东金太阳教育集团有限公司,215.00,1494.20,-1279.20
2026.8.7-2026.8.13,decline,11,500284,北京今晚时间传媒科技有限公司,21.00,1132.20,-1111.20
2026.8.7-2026.8.13,decline,12,500505,湖北千里万卷教育科技有限责任公司,130.60,1212.78,-1082.18
2026.8.7-2026.8.13,decline,13,500745,深圳天骄文化传播有限公司,724.10,1719.36,-995.26
2026.8.7-2026.8.13,decline,14,500514,河北考源书业有限公司,84.40,1033.10,-948.70
2026.8.7-2026.8.13,decline,15,500379,南京经纶文化传媒有限公司,556.40,1376.60,-820.20
2026.8.7-2026.8.13,decline,16,500323,浙江良品图书有限公司,264.80,1051.20,-786.40
2026.8.7-2026.8.13,decline,17,500299,山东众旺汇金教育科技有限公司,559.00,1344.00,-785.00
2026.8.7-2026.8.13,decline,18,500312,江苏通典文化传媒集团有限公司,1634.10,2391.70,-757.60
2026.8.7-2026.8.13,decline,19,505620,湖南书虫教育科技有限公司,361.80,1097.40,-735.60
2026.8.7-2026.8.13,decline,20,500175,济南小鸣同学教育科技有限公司,56.00,714.20,-658.20
2026.7.31-2026.8.6,consumption,1,500566,山东金榜苑文化传媒有限责任公司,5607.10,3547.61,2059.49
2026.7.31-2026.8.6,consumption,2,500339,山东鼎鑫书业有限公司,3770.30,3843.48,-73.18
2026.7.31-2026.8.6,consumption,3,500261,山东正禾大教育科技有限公司,3220.20,3372.86,-152.66
2026.7.31-2026.8.6,consumption,4,500162,郑州荣恒图书发行有限公司,3174.80,1446.30,1728.50
2026.7.31-2026.8.6,consumption,5,500415,山东一本图书文化有限公司,2672.20,1166.51,1505.69
2026.7.31-2026.8.6,consumption,6,503992,长歌文化,2228.10,4585.88,-2357.78
2026.7.31-2026.8.6,consumption,7,520221,见山文化,2207.40,0.00,2207.40
2026.7.31-2026.8.6,consumption,8,905437,高智传媒科技中心,2199.00,2051.70,147.30
2026.7.31-2026.8.6,consumption,9,500507,山东育博苑文化传媒有限公司,2168.50,3967.12,-1798.62
2026.7.31-2026.8.6,consumption,10,500538,安徽木牍教育图书有限公司,1856.00,2119.90,-263.90
2026.7.31-2026.8.6,consumption,11,500285,山东一帆融媒教育科技有限公司,1806.50,2926.00,-1119.50
2026.7.31-2026.8.6,consumption,12,500318,湖北盈未来教育科技有限公司,1661.00,721.94,939.06
2026.7.31-2026.8.6,consumption,13,500173,河北金卷教育科技有限公司,1659.32,1541.70,117.62
2026.7.31-2026.8.6,consumption,14,518061,梁山金大文化传媒有限公司,1656.20,0.00,1656.20
2026.7.31-2026.8.6,consumption,15,500283,哈尔滨勤为径图书经销有限公司,1505.20,3602.76,-2097.56
2026.7.31-2026.8.6,consumption,16,500408,河北华冠图书有限公司,1431.60,3835.20,-2403.60
2026.7.31-2026.8.6,consumption,17,500745,深圳天骄文化传播有限公司,1427.30,2441.96,-1014.66
2026.7.31-2026.8.6,consumption,18,500179,洛阳朝霞文化股份有限公司,1426.80,2309.14,-882.34
2026.7.31-2026.8.6,consumption,19,514867,拾光树文化,1377.78,0.00,1377.78
2026.7.31-2026.8.6,consumption,20,500172,陕西灰犀牛图书策划有限公司,1340.00,1269.02,70.98
2026.7.31-2026.8.6,growth,1,520221,见山文化,2207.40,0.00,2207.40
2026.7.31-2026.8.6,growth,2,500566,山东金榜苑文化传媒有限责任公司,5607.10,3547.61,2059.49
2026.7.31-2026.8.6,growth,3,500162,郑州荣恒图书发行有限公司,3174.80,1446.30,1728.50
2026.7.31-2026.8.6,growth,4,518061,梁山金大文化传媒有限公司,1656.20,0.00,1656.20
2026.7.31-2026.8.6,growth,5,500415,山东一本图书文化有限公司,2672.20,1166.51,1505.69
2026.7.31-2026.8.6,growth,6,514867,拾光树文化,1377.78,0.00,1377.78
2026.7.31-2026.8.6,growth,7,500318,湖北盈未来教育科技有限公司,1661.00,721.94,939.06
2026.7.31-2026.8.6,growth,8,500644,广东文晖文化传播有限公司,944.50,19.40,925.10
2026.7.31-2026.8.6,growth,9,511590,衡水天枢教育发展有限公司,691.40,0.00,691.40
2026.7.31-2026.8.6,growth,10,500410,湖北时代卓锦文化传媒有限公司,1155.20,582.80,572.40
2026.7.31-2026.8.6,growth,11,511775,陕西文韬文化传媒有限公司,559.00,0.00,559.00
2026.7.31-2026.8.6,growth,12,520676,广州市昭阳博悦文化传播有限公司,502.80,0.00,502.80
2026.7.31-2026.8.6,growth,13,500500,山东正大图书有限公司,519.60,103.80,415.80
2026.7.31-2026.8.6,growth,14,500726,湖南老唐说题教育咨询有限公司,400.00,38.10,361.90
2026.7.31-2026.8.6,growth,15,500608,河南欢颜文化传媒有限公司,325.40,0.00,325.40
2026.7.31-2026.8.6,growth,16,500546,众望益飞教育科技（北京）有限公司,688.00,366.80,321.20
2026.7.31-2026.8.6,growth,17,514603,陕西明天教育科技发展有限公司,281.00,0.00,281.00
2026.7.31-2026.8.6,growth,18,518382,东北书局,244.60,0.00,244.60
2026.7.31-2026.8.6,growth,19,500271,河北红对勾文化传播有限公司,344.00,115.40,228.60
2026.7.31-2026.8.6,growth,20,501236,宁波涌济文化发展有限公司,310.20,85.88,224.32
2026.7.31-2026.8.6,decline,1,500573,山东接力教育集团有限公司,926.80,4531.42,-3604.62
2026.7.31-2026.8.6,decline,2,500408,河北华冠图书有限公司,1431.60,3835.20,-2403.60
2026.7.31-2026.8.6,decline,3,503992,长歌文化,2228.10,4585.88,-2357.78
2026.7.31-2026.8.6,decline,4,500377,山东泰斗文化传播有限公司,326.80,2439.58,-2112.78
2026.7.31-2026.8.6,decline,5,500283,哈尔滨勤为径图书经销有限公司,1505.20,3602.76,-2097.56
2026.7.31-2026.8.6,decline,6,500312,江苏通典文化传媒集团有限公司,1178.20,3261.30,-2083.10
2026.7.31-2026.8.6,decline,7,504623,开心教辅图书,164.40,2121.12,-1956.72
2026.7.31-2026.8.6,decline,8,500507,山东育博苑文化传媒有限公司,2168.50,3967.12,-1798.62
2026.7.31-2026.8.6,decline,9,500572,山东金太阳教育集团有限公司,232.30,1650.50,-1418.20
2026.7.31-2026.8.6,decline,10,500309,武汉睿芯教育科技有限公司,338.80,1551.20,-1212.40
2026.7.31-2026.8.6,decline,11,500505,湖北千里万卷教育科技有限责任公司,327.00,1534.10,-1207.10
2026.7.31-2026.8.6,decline,12,500285,山东一帆融媒教育科技有限公司,1806.50,2926.00,-1119.50
2026.7.31-2026.8.6,decline,13,500745,深圳天骄文化传播有限公司,1427.30,2441.96,-1014.66
2026.7.31-2026.8.6,decline,14,505620,湖南书虫教育科技有限公司,249.80,1258.30,-1008.50
2026.7.31-2026.8.6,decline,15,500297,河南文轩文化传播有限公司,59.80,953.60,-893.80
2026.7.31-2026.8.6,decline,16,500179,洛阳朝霞文化股份有限公司,1426.80,2309.14,-882.34
2026.7.31-2026.8.6,decline,17,500284,北京今晚时间传媒科技有限公司,9.00,711.20,-702.20
2026.7.31-2026.8.6,decline,18,500323,浙江良品图书有限公司,223.60,875.30,-651.70
2026.7.31-2026.8.6,decline,19,500514,河北考源书业有限公司,153.20,796.00,-642.80
2026.7.31-2026.8.6,decline,20,500299,山东众旺汇金教育科技有限公司,951.60,1540.70,-589.10
