月度日期,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2025.1,2025.2,2025.3,2025.4,2025.5,2025.6,2025.7,2025.8,2025.9,2025.10,2025.11,2025.12,2026.1,2026.2,2026.3,2026.4,2026.5,2026.6,2026.7
生产（发布资料）,38085,52751,77511,72225,58083,43747,43909,29956,54507,63795,75169,91398,38347,56116,84063,93097,87505,51797,33473,37007,69560,92189,86442,107885,56253,59374,100906,99348,64950,39930,28078
征集（创建专辑）,231,1079,1952,1766,3987,2713,1008,491,448,668,1184,2873,1210,2372,3108,2610,2833,2445,2384,2120,3170,1946,1639,2438,3228,3204,3138,3179,2278,1376,1459
总消费,1015422.96,643972.84,1014196.66,901406.96,947211.43,980725.16,714565.53,563461.01,833133.77,765893.9,815292.5,1020500,689938.84,738292.4,841661.28,818300.47,971894.16,1046116.82,621993.64,456958.01,660957.54,634585.81,669858.75,954665.26,878025.87,477894.72,821363.69,766022.5,792900.6,798791.63,458668.44
消费（C）,902565.25,565410.99,871644.46,761612.58,798217.39,858196.58,645226.33,477069.76,678677.11,609831.25,627718.43,788955.82,566101.91,546066.26,625850.27,606126.34,748320.47,846745.14,506170.99,342524.85,449262.1,455117.26,450878.93,604972.81,554256.24,343424.39,485898.71,503553.83,568903.69,616104.48,358231.57
消费（C-储值）,0,0,0,0,0,0,0,0,0,0,0,0,373123.3,355309.07,407509.27,399234.51,506800.29,568031.03,361569.42,235588.46,315927.56,314010.35,312674.4,408160.01,378684.53,235429.79,320968.57,331270.89,381892.84,407622.33,244214.87
消费（C-现金）,0,0,0,0,0,0,0,0,0,0,0,0,192978.61,190757.19,218341,206891.83,241520.18,278714.11,144601.57,106936.39,133334.54,141106.91,138204.53,196812.8,175571.71,107994.6,164930.14,172282.94,187010.85,208482.15,114016.7
消费（B）,112857.71,78561.85,142552.2,139794.38,148994.04,122528.58,69339.2,86391.25,154456.66,156062.65,187574.07,231544.18,123836.93,192226.14,215811.01,212174.13,223573.69,199371.68,115822.65,114433.16,211695.44,179468.55,218979.82,349692.45,323769.63,134470.33,335464.98,262468.67,223996.91,182687.15,100436.87
书城消费（仅教辅）,964920.97,605385.06,939128.27,838480.36,867593.74,930876.07,672512.65,502439.99,729462.3,671047.35,715246.54,916721.47,634979.08,675124.63,770823.29,748844.83,886227.87,974284.87,567215.69,402378.43,600669.93,591298.65,613155.15,880568.88,806145.65,441214.83,738827.92,707257.57,737850.98,761258.86,428495.09
大盘消费,7765755.65,4559079.35,7173579.3,7480480.7,7830071.82,7885497.45,5784353.85,4506422.41,5974230.05,6466202.79,6487087.32,7378842.43,5933157.33,5467413.54,6388482.87,6604392.49,7260398.51,7171272.45,5384538.21,4190668.93,5346761.48,5630723.38,5990032.08,6288409.69,6885048.81,3867978.38,5633513.75,5995442.91,6296147.99,6285003.19,4763231.53
消费占比,13.08%,14.13%,14.14%,12.05%,12.10%,12.44%,12.35%,12.50%,13.95%,11.84%,12.57%,13.83%,11.63%,13.50%,13.17%,12.39%,13.39%,14.59%,11.55%,10.90%,12.36%,11.27%,11.18%,15.18%,12.75%,12.36%,14.58%,12.78%,12.59%,12.71%,9.63%
总下载量,676276,426318,666198,571117,598245,536040,398872,282218,391049,336740,364122,541582,366823,359044,409033,390363,496676,580531,336905,230906,335201,277105,293507,433165,404461,204414,345479,297603,296662,301262,183054
下载量（付费）,345131,225571,340096,295218,301769,318236,274085,185437,260286,229198,245480,307623,220631,234494,270565,258599,307170,336697,230800,152497,223022,212492,222079,308165,285302,164748,264215,235211,240390,243428,165553
下载量（免费）,331145,200747,326102,275899,296476,217804,124787,96781,130763,107542,118642,233959,146192,124550,138468,131764,189506,243834,106105,78409,112179,64613,71428,125000,119159,39666,81264,62392,56272,57834,17501
访客uv,1598164,1134344,1914433,1956146,1949808,1832505,1011500,970777,1682917,1556390,1454744,1575939,932016,1026093,1245952,1222495,1282005,1257245,692510,654791,1073004,1086455,1113171,1500061,1550047,898869,1339161,1709746,1492300,1070724,1493363
登录访客uv,0,0,0,0,0,0,0,0,0,0,0,0,504205,565431,664432,616394,682361,646405,384393,655268,576340,549085,536751,648166,534297,249495,460307,448278,439377,460022,278468
总下载用户,188217,117987,206701,189158,198435,183692,116471,90431,133131,126013,130488,180104,118870,114384,143149,144864,175071,186720,90482,69127,107009,105321,106452,151948,141474,67092,117124,114505,111332,111167,60228
下载用户（C）,103215,70186,115627,104408,103251,110643,82910,60050,91560,82796,82800,96427,67357,65492,80367,81542,92560,99442,60980,42833,62959,65481,63125,75778,70732,42384,62256,65405,68335,71586,46566
下载用户（B储值卡）,7110,4852,9216,9231,9883,7787,4132,5069,10205,10867,13057,15880,8536,13631,15568,15365,15662,13432,6636,7161,16807,16379,18523,26629,23238,9166,24902,21169,18100,14937,6924
下载用户（B免费）,77892,42949,81858,75519,85301,65262,29429,25312,31366,32350,34631,67797,42977,35261,47214,47957,66849,73846,22866,19133,27243,23461,24804,49541,47504,15542,29966,27931,24897,24644,6738
小学,181156.99,87592.74,144611.75,134114.61,143892.86,216702.59,107487.33,76831.93,118878.14,122837.52,126062.15,196634.69,124184.96,90768.06,116693.44,132478.97,148106.72,264014.45,97098.94,65464.98,118868.23,117145.88,107819.29,151616.9,156511.3,39457.59,88088.22,103758.6,103361.26,175940.9,59242.13
初中,403847.69,229050.01,359799.62,320561.18,373334.53,440453.19,284968.85,177423.97,280353.16,252435.55,279306.64,378294.67,265369.7,254652.22,319071.4,307482.71,409703.51,490617.05,221407.94,134943.71,212839.23,227399.95,241361.3,367816.91,312770.84,174769.77,302346.52,281270.37,331318.98,391771.97,168222.53
高中,373507.49,282384.13,424280.93,377488.77,353100.05,263764.01,278582.27,246711.49,325716.9,290729.53,306493.05,344766.41,245960.44,328303.85,334291.19,306116.82,350693.59,250465.69,263090.36,197752.75,263503.07,243041.66,260193.63,359900.77,333653.51,225557.57,344857.69,319892.38,302631.79,188552.89,198422.93
中职,3555.4,1988.63,5190.72,4758.6,4589.5,3321,3289.4,1980.2,2388.7,3075.2,3061,3404.2,2515.52,2609.1,3024.28,5088.04,3658.2,3325.27,2415.2,3937.6,4428.7,2906.76,3136.92,2270.4,2899.1,1192.2,2693.62,1887.62,1986.9,2481.1,2417.1
试卷,264801.22,94489.61,144011.46,221958.99,260139.57,367240.85,96860.83,92518.62,99209.51,141599.97,146390.93,287655.63,184011.01,108596.81,127522.62,207120.36,267940.39,448890.93,79974.09,57054.63,67595.75,91708.18,116220.49,238779.59,248549.51,66048.48,119771.41,185999.62,217957.04,342164.85,69822.17
课件,196699.38,174000.07,273395.49,214244.72,192181.35,137532.35,130625.1,116415.6,211840.38,184738.61,186722.22,202943.4,116478.71,197418.77,223580.65,181258.64,180749.32,126692.65,113153.54,98162.85,165692.39,164540.57,157830.08,197455.46,156265.83,112319.47,221503.93,174960.52,148843.89,97265.44,88074.03
作业,153125.19,101517.25,174195.48,116437.84,124542.42,122670.11,180925.84,112328.49,195711.98,148860.57,150269.84,150968.81,107436.01,122016.29,156141.69,115695.24,148634.4,118399.42,154326.43,101780.55,190295.18,162010.51,140522.09,157163.83,113492.13,72297.27,124191.65,97545.64,100171.19,80919.15,96071.7
题集,159148.69,85690.31,127118.86,119700.11,139518.95,154071.23,97087.91,63727.59,77838.36,70662.14,88878.52,142030.75,100225.89,84126.25,101196.1,106247.29,160294.12,180082.23,93393.54,52595.05,69832.38,68649.37,85579.42,149675.56,149763.28,79860.28,124076.34,124555.77,157313.55,135433.73,71914.82
教案,99886.97,85783.82,132487.02,97426.5,88807.25,71472.96,86866.36,67501.53,89891.51,73677.43,82024.09,78088.84,72442.74,104357.69,98935.86,75753.94,81536.63,62105.84,71246.23,51820.26,61722.23,61142.45,61444.82,81381.94,79593.85,67561.36,92832.97,73143.53,55113.9,46322.88,52088.14
学案,78445.47,53275.71,71710.9,58575.94,60373.34,62779.74,71716.61,44028.67,44690.33,43920.35,54838.27,56556.33,52561.12,54556.55,61118.48,56774.76,61725.51,64846.43,63529.75,36251.56,40450.8,38921.61,46719.87,51921.85,54475.86,39016.47,50759.85,46490.1,55825.63,53888.86,46496.33
