,2026.7,2026.6,2026.5,2026.4,2026.3,2026.2,2026.1,2025.12,2025.11,2025.10,2025.9,2025.8,2025.7,2025.6,2025.5,2025.4,2025.3,2025.2,2025.1
小程序访客,6548,8691,9748,8708,14185,5574,9144,9754,9298,12967,17632,3299,5599,3972,4758,5621,12102,9648,2978
小程序新增访客,5801,6531,5863,5138,9009,4000,7274,7429,6826,10656,16735,2878,5212,3244,3612,4228,10693,9174,2697
H5访客,281,389,347,478,1006,489,726,865,1085,1491,2514,1827,3512,1482,1175,1689,2669,2931,1182
H5新增访客,247,330,233,339,836,395,611,703,799,1269,2012,1056,2499,1207,937,1381,2330,2712,1035
小程序日均访客,270,,,,,,,,,,,,,,,,,,
江西宇恒文化发展有限公司,2915,5513,5358,4387,8961,2121,4974,6488,7082,10444,14317,1973,1861,1595,2493,3049,5081,4941,488
众相原创文化传播（陕西）有限公司,156,602,1063,1466,2826,1509,1860,1399,810,297,158,69,4,7,0,0,0,0,0
哈尔滨勤为径图书经销有限公司,309,1838,2255,1375,885,216,300,137,51,28,13,18,3,0,0,0,0,0,0
陕西灰犀牛图书策划有限公司,122,118,183,163,203,131,213,265,221,204,336,269,603,939,1154,1633,5508,2148,1655
武汉鑫南泓文化传媒有限公司,410,147,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
梁山金大文化传媒有限公司,390,318,164,100,30,36,8,0,0,0,0,0,0,0,0,0,0,0,
山东鼎鑫书业有限公司,304,41,80,42,43,76,91,116,109,141,294,324,370,202,120,62,81,29,57
文心出版社有限公司,9,23,17,15,28,48,17,0,0,0,0,0,0,0,0,0,0,0,0
北京真题圈数媒科技有限公司,10,48,22,17,19,8,8,0,0,0,0,0,0,0,0,0,0,0,0
山东育博苑文化传媒有限公司,6,42,44,28,23,22,35,49,45,45,145,125,183,94,67,50,31,29,21
湖北稳派教育科技有限公司,17,,,,,,,,,,,,,,,,,,
