周度日期,2026.8.14-2026.8.20,2025.8.14-2025.8.20,2026.8.7-2026.8.13,2025.8.7-2025.8.13,2026.7.31-2026.8.6,2025.7.31-2025.8.6,2026.7.24-2026.7.31,2025.7.24-2025.7.31,2026.7.17-2026.7.23,2025.7.17-2025.7.23,2026.7.10-2026.7.16,2025.7.10-2025.7.16,2026.7.3-2026.7.9,2025.7.3-2025.7.9,2026.6.26-2026.7.2,2025.6.26-2025.7.2,2026.6.19-2026.6.25,2025.6.19-2025.6.25,2026.6.12-2026.6.18,2025.6.12-2025.6.18,2026.6.5-2026.6.11,2025.6.5-2025.6.11,2026.5.29-2026.6.4,2025.5.29-2025.6.4,2026.5.22-2026.5.28,2025.5.22-2025.5.28,2026.5.15-2026.5.21,2025.5.15-2025.5.21,2026.5.8-2026.5.14,2025.5.8-2025.5.14,2026.5.1-2026.5.7,2025.5.1-2025.5.7,2026.4.24-2026.4.30,2025.4.24-2025.4.30,2026.4.17-2026.4.23,2025.4.17-2025.4.23,2026.4.10-2026.4.16,2025.4.10-2025.4.16,2026.4.3-2026.4.9,2025.4.3-2025.4.9,2026.3.27-2026.4.2,2025.3.27-2025.4.2,2026.3.20-2026.3.26,2025.3.20-2025.3.26,2026.3.13-2026.3.19,2025.3.13-2025.3.19,2026.3.6-2026.3.12,2025.3.6-2025.3.12,2026.2.27-2026.3.5,2025.2.27-2025.3.5,2026.2.20-2026.2.26,2025.2.20-2025.2.26,2026.2.13-2026.2.19,2025.2.13-2025.2.19,2026.2.6-2026.2.12,2025.2.6-2025.2.12,2026.1.30-2026.2.5,2025.1.30-2025.2.5,2026.1.23-2026.1.29,2025.1.23-2025.1.29,2026.1.16-2026.1.22,2025.1.16-2025.1.22,2026.1.9-2026.1.15,2025.1.9-2025.1.15,2026.1.2-2026.1.8,2025.1.2-2025.1.8
生产（发布资料）,16073,6465,15214,9757,12382,11691,6623,6644,5551,6414,8698,8836,4465,8096,4327,4969,4014,9226,7409,8222,12560,18998,20036,19537,13832,23761,17107,18443,16726,20447,10461,20288,15854,18423,19735,17872,30468,28181,27177,22274,25642,14268,27157,16255,22011,25406,20876,25324,15768,13638,18324,14889,9739,15388,16133,17580,14678,8462,13348,7442,15956,6240,13341,10061,8966,8688
征集（创建专辑）,459,488,438,458,447,488,314,772,309,398,248,510,189,448,258,400,228,591,308,452,327,697,434,718,509,676,360,692,738,749,386,375,669,655,552,717,796,422,682,585,677,678,795,671,718,723,530,876,730,700,849,734,513,546,1010,550,530,310,746,241,984,356,677,228,696,275
总消费,82930.80,104138.15,80524.37,106348.84,87830.55,118793.92,91350.31,119293.05,98895.23,128400.35,104578.89,150823.16,114754.42,155826.95,138474.31,177439.92,147148.22,228289.07,196558.52,260722.42,219702.4,277633.46,227954.47,255301.93,196571.16,244604.35,191196.19,233172.13,171867.38,218460.93,139549.01,172714.61,170406.64,187382.15,187200.35,195981.5,197113.23,206004.57,162980.94,178018.45,174221.14,176040.03,178292.07,181301.08,187171.57,197934.9,195526.57,200307.46,179331.77,204142.5,125645.1,218464.26,42907.65,204276.64,142387.38,164352.71,166528.39,95402.92,178695.38,75870.73,196307.55,175159.05,220706.93,186206.11,219800.76,221983.92
消费（C）,61160.90,80322.86,63224.58,82571.00,72936.26,94677.95,73675.98,100687.41,77893.53,105983.98,82311.52,124162.35,86932.36,123225.95,108269.93,140785.1,116141.15,187399.39,155371.87,211453.6,172330.86,226776.47,166193.68,202665.23,140619.91,186438.23,132955.75,178454.6,118330.4,161692.11,102264.54,137710.08,120017.64,138679.66,125725.85,146613.74,125334.82,153024.51,103688.25,133151.03,108538.56,129924.94,108180.36,135914.02,111940.34,149323.53,115015.78,149460.21,99225.92,143705.07,87794.18,157933.57,31981.87,143204.03,108610.53,127891.28,119119.62,77624.12,120969.49,64239.43,127635.51,145135.64,133251.44,151168.41,125976.14,181150.67
消费（储值）,41149.22,58144.78,42747.47,55667.04,49435.64,64246.6,50179.35,70941.97,52863.75,74646.97,56931.04,90384.52,59914.08,89060.32,72282.68,97777.08,76044.86,123458.01,102430.1,140608.36,114424.93,154149.65,111009.52,136233.4,94691.13,125278.94,90927.13,120908.24,78909.03,109703.6,66598.34,93748.72,79785.5,92041.79,82284.54,96935.28,81133.99,99792.36,69062.05,"87,316.30",71825.2,87206.38,71746.54,88647.21,74286.83,95805.76,76156.83,96804.15,64508.22,"94,281.65","57,187.29",102812.09,22734.11,93550.17,75190.5,81399.13,84442.1,51208.68,84640.92,41718.23,86126.49,98791.2,90274.58,98778.31,85858.46,117349.9
消费（现金）,20011.68,22178.08,20477.11,26903.96,23500.62,30431.35,23496.63,29745.44,25029.78,31337.01,25380.48,33777.83,27018.28,34165.63,35987.25,43008.02,40096.29,63941.38,52941.77,70845.24,57905.93,72626.82,55184.16,66431.83,45928.78,61159.29,42028.62,57546.36,39421.37,51988.51,35666.2,43961.36,40232.14,46637.87,43441.31,49678.46,44200.83,53232.15,34626.2,"45,834.73",36713.36,42718.56,36433.82,47266.81,37653.51,53517.77,38858.95,52656.06,34717.7,"49,423.42","30,606.89",55121.48,9247.76,49653.86,33420.03,46492.15,34677.52,26415.44,36328.57,22521.2,41509.02,46344.44,42976.86,52390.1,40117.68,63800.77
消费（B）,21769.90,23815.29,17299.79,23777.84,14894.29,24115.97,17674.33,18605.64,21001.7,22416.37,22267.37,26660.81,27822.06,32601,30204.38,36654.82,31007.07,40889.68,41186.65,49268.82,47371.54,50856.99,61760.79,52636.7,55951.25,58166.12,58240.44,54717.53,53536.98,56768.82,37284.47,35004.53,50389,48702.49,61474.5,49367.76,71778.41,52980.06,59292.69,44867.42,65682.58,46115.09,70111.71,45387.06,75231.23,48611.37,80510.79,50847.25,80105.85,60437.43,37850.92,60530.69,10925.78,61072.61,33776.85,36461.43,47408.77,17778.8,57725.89,11631.3,68672.04,30023.41,87455.49,35037.7,93824.62,40833.25
书城消费（仅教辅）,77496.10,91997.02,74582.20,95790.56,80049.38,105399.38,84874.11,108292.87,92442.44,118601.21,98287.32,138262.47,107946.93,141212.92,130425.06,164110.21,140521.12,212136,188678,242639.46,209912,260175.73,214970.17,236459.16,183123.05,224251.58,177092.45,212818.06,158634.3,197162.34,130083.32,160084.79,158258.24,173792.63,173159.65,178360.7,181783.3,187033.17,150402.64,163168.22,158537.61,163277.48,160807.37,166101.81,166837.99,181044.67,176402.78,182005.21,160780.8,185837.94,115747.58,199126.23,39954.95,182906.25,132255.51,152801.47,153904.49,89705.19,164094.79,69977.85,181182.65,162375.25,201476.68,169813.94,200752.28,204634.97
大盘消费,745190.24,910659.43,798742.42,946933.72,912437.94,1043500.97,976974.38,1086290.51,1040527.79,1178032.05,1081029.44,1275239.04,1191447.32,1297479.95,1292626.85,1383500.66,1310362.63,1573081.16,1537118.4,1726159.04,1622138.74,1871459.17,1628096.69,1810897.45,1516629.58,1750980.51,1475315.57,1691120.94,1294044.62,1640097.57,1246582.93,1371338.63,1493020.15,1471342.98,1483452.73,1603462.45,1451664.64,1667492.1,1239021.22,1478077.32,1253786.6,1466994.02,1235940.51,1428017.21,1276381.03,1459241.21,1315869.1,1452173.71,1228196.35,1431300.88,933779.02,1550372.9,336995.41,1476149.71,1252496.42,1308127.41,1440123.08,762261.4,1530744.52,685912.9,1616362.51,1532754.57,1644303.82,1600343.19,1475845.71,1844791.84
消费占比,11.13%,11.44%,10.08%,11.23%,9.63%,11.38%,9.35%,10.98%,9.50%,10.90%,9.67%,11.83%,9.63%,12.01%,10.71%,12.83%,11.23%,14.51%,12.79%,15.10%,13.54%,14.84%,14.00%,14.10%,12.96%,13.97%,12.96%,13.79%,13.28%,13.32%,11.19%,12.59%,11.41%,12.74%,12.62%,12.22%,13.58%,12.35%,13.15%,12.04%,13.90%,12.00%,14.43%,12.70%,14.66%,13.56%,14.86%,13.79%,14.60%,14.26%,13.46%,14.09%,12.73%,13.84%,11.37%,12.56%,11.56%,12.52%,11.67%,11.06%,12.15%,11.43%,13.42%,11.64%,14.89%,12.03%
