2026.8.14-2026.8.20,,,,
排序,图书id,商家名称,图书名称,访客数
1,1772,梁山金大文化传媒有限公司,创新大课堂 高三总复习 物理,55
2,1788,武汉鑫南泓文化传媒有限公司,高效课堂.九年级数学.上册,28
3,1777,梁山金大文化传媒有限公司,创新大课堂 高三总复习 英语 （北师大版）,25
4,1545,江西宇恒文化发展有限公司,26秋 英语作业本 8年级英语人教通用上册,18
5,1555,江西宇恒文化发展有限公司,26秋 数学作业本 8年级数学人教上册,17
6,1543,江西宇恒文化发展有限公司,26秋 英语作业本 9年级英语人教AH上册,13
7,1761,梁山金大文化传媒有限公司,创新大课堂 高三总复习 数学,12
8,1762,梁山金大文化传媒有限公司,创新大课堂 高三总复习 思想政治,12
9,1551,江西宇恒文化发展有限公司,26秋 数学作业本 9年级数学人教上册,11
10,1575,江西宇恒文化发展有限公司,26秋 化学作业本 9年级化学人教通用上册,10
排序,图书id,商家名称,图书名称,访客数
1,1709,江西宇恒文化发展有限公司,26春初中期末抢分卷7年级下册（7科）,2108
2,744,江西宇恒文化发展有限公司,学海风暴七年级英语RJ版下册,1898
3,740,江西宇恒文化发展有限公司,学海乐园英语三年级RJ版下册,1840
4,523,陕西灰犀牛图书策划有限公司,一战成名新中考·纯练版总复习·2025语文,1804
5,520,陕西灰犀牛图书策划有限公司,一战成名新中考·新方案·2025生物,1605
6,847,江西宇恒文化发展有限公司,25秋 校本学案 九年级 英语 RJ版 上册,1506
7,901,江苏凤凰电子音像出版社有限公司,初高中衔接课程 数学,1252
8,970,江西宇恒文化发展有限公司,25秋 校本学案  八年级 英语 RJ版 上册,1246
9,980,江西宇恒文化发展有限公司,25秋 校本学案 七年级 英语 RJ版 上册,1200
10,1392,江西宇恒文化发展有限公司,初中生地会考冲A超级考卷 生物学,1167
2026.8.7-2026.8.13,,,,
排序,图书id,商家名称,图书名称,访客数
1,1772,梁山金大文化传媒有限公司,创新大课堂 高三总复习 物理,140
2,1788,武汉鑫南泓文化传媒有限公司,高效课堂.九年级数学.上册,20
3,1545,江西宇恒文化发展有限公司,26秋 英语作业本 8年级英语人教通用上册,17
4,1777,梁山金大文化传媒有限公司,创新大课堂 高三总复习 英语 （北师大版）,16
5,1762,梁山金大文化传媒有限公司,创新大课堂 高三总复习 思想政治,15
6,1551,江西宇恒文化发展有限公司,26秋 数学作业本 9年级数学人教上册,15
7,1761,梁山金大文化传媒有限公司,创新大课堂 高三总复习 数学,14
8,1555,江西宇恒文化发展有限公司,26秋 数学作业本 8年级数学人教上册,14
9,1799,山东鼎鑫书业有限公司,衔接教材一本通（初升高）英语,14
10,1476,哈尔滨勤为径图书经销有限公司,千里马·单元测试卷·数学·七年级下册,13
排序,图书id,商家名称,图书名称,访客数
1,1709,江西宇恒文化发展有限公司,26春初中期末抢分卷7年级下册（7科）,2102
2,744,江西宇恒文化发展有限公司,学海风暴七年级英语RJ版下册,1896
3,740,江西宇恒文化发展有限公司,学海乐园英语三年级RJ版下册,1838
4,523,陕西灰犀牛图书策划有限公司,一战成名新中考·纯练版总复习·2025语文,1801
5,520,陕西灰犀牛图书策划有限公司,一战成名新中考·新方案·2025生物,1605
6,847,江西宇恒文化发展有限公司,25秋 校本学案 九年级 英语 RJ版 上册,1506
7,901,江苏凤凰电子音像出版社有限公司,初高中衔接课程 数学,1252
8,970,江西宇恒文化发展有限公司,25秋 校本学案  八年级 英语 RJ版 上册,1244
9,980,江西宇恒文化发展有限公司,25秋 校本学案 七年级 英语 RJ版 上册,1196
10,1392,江西宇恒文化发展有限公司,初中生地会考冲A超级考卷 生物学,1166
2026.7.31-2026.8.6,,,,
排序,图书id,商家名称,图书名称,访客数
1,1788,武汉鑫南泓文化传媒有限公司,高效课堂.九年级数学.上册,38
3,1820,武汉鑫南泓文化传媒有限公司,高效课堂.九年级英语.人教版.河南专用.上册,22
2,1793,武汉鑫南泓文化传媒有限公司,高效课堂.七年级英语.人教版.上册,22
4,1797,山东鼎鑫书业有限公司,衔接教材一本通（初升高）语文,21
5,1555,江西宇恒文化发展有限公司,26秋 数学作业本 8年级数学人教上册,20
6,1476,哈尔滨勤为径图书经销有限公司,千里马·单元测试卷·数学·七年级下册,20
7,1777,梁山金大文化传媒有限公司,创新大课堂 高三总复习 英语 （北师大版）,19
8,1803,武汉鑫南泓文化传媒有限公司,高效课堂.九年级数学.华师版.上册,16
9,795,山东育博苑文化传媒有限公司,2026《精讲精练 高考总复习 数学》,15
10,1798,山东鼎鑫书业有限公司,衔接教材一本通（初升高）数学,15
排序,图书id,商家名称,图书名称,访客数
1,1709,江西宇恒文化发展有限公司,26春初中期末抢分卷7年级下册（7科）,2100
2,744,江西宇恒文化发展有限公司,学海风暴七年级英语RJ版下册,1896
3,740,江西宇恒文化发展有限公司,学海乐园英语三年级RJ版下册,1838
4,523,陕西灰犀牛图书策划有限公司,一战成名新中考·纯练版总复习·2025语文,1799
5,520,陕西灰犀牛图书策划有限公司,一战成名新中考·新方案·2025生物,1605
6,847,江西宇恒文化发展有限公司,25秋 校本学案 九年级 英语 RJ版 上册,1506
7,901,江苏凤凰电子音像出版社有限公司,初高中衔接课程 数学,1252
8,970,江西宇恒文化发展有限公司,25秋 校本学案  八年级 英语 RJ版 上册,1243
9,980,江西宇恒文化发展有限公司,25秋 校本学案 七年级 英语 RJ版 上册,1195
10,1392,江西宇恒文化发展有限公司,初中生地会考冲A超级考卷 生物学,1163
